rank,candidate_id,candidate_name,final_fit_score,similarity_score,required_skill_score,important_skill_score,matched_required_skills,matched_important_skills,missing_required_skills
477,KG_00323,Kaggle Candidate 323,10.1,1.03,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
478,KG_01677,Kaggle Candidate 1677,10.09,1.01,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
479,KG_02170,Kaggle Candidate 2170,10.09,1.01,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
480,KG_01990,Kaggle Candidate 1990,10.09,1.02,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
481,KG_01266,Kaggle Candidate 1266,10.09,1.01,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
482,KG_01338,Kaggle Candidate 1338,10.09,1.01,16.67,25,statistics,communication,"data cleaning, data visualization, excel, sql, tableau"
483,KG_01618,Kaggle Candidate 1618,10.08,1,16.67,25,statistics,communication,"data cleaning, data visualization, excel, sql, tableau"
484,KG_01056,Kaggle Candidate 1056,10.08,0.99,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
485,KG_02353,Kaggle Candidate 2353,10.08,1,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
486,KG_02134,Kaggle Candidate 2134,10.07,0.98,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
487,KG_00150,Kaggle Candidate 150,10.07,0.98,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
488,KG_01682,Kaggle Candidate 1682,10.07,0.97,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
489,KG_02357,Kaggle Candidate 2357,10.07,0.96,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
490,KG_00909,Kaggle Candidate 909,10.06,0.95,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
491,KG_00883,Kaggle Candidate 883,10.06,0.95,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
492,KG_00432,Kaggle Candidate 432,10.06,0.96,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
493,KG_02361,Kaggle Candidate 2361,10.06,0.94,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
494,KG_00149,Kaggle Candidate 149,10.06,0.95,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
495,KG_00404,Kaggle Candidate 404,10.06,0.96,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
496,KG_02213,Kaggle Candidate 2213,10.06,0.96,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
497,KG_00530,Kaggle Candidate 530,10.05,0.93,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
498,KG_01036,Kaggle Candidate 1036,10.05,0.94,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
499,KG_01963,Kaggle Candidate 1963,10.05,0.94,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
500,KG_00042,Kaggle Candidate 42,10.05,0.92,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
501,KG_02426,Kaggle Candidate 2426,10.05,0.93,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
502,KG_01577,Kaggle Candidate 1577,10.05,0.92,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
503,KG_00970,Kaggle Candidate 970,10.05,0.94,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
504,KG_00009,Kaggle Candidate 9,10.05,0.94,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
505,KG_02372,Kaggle Candidate 2372,10.04,0.91,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
506,KG_02429,Kaggle Candidate 2429,10.04,0.91,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
507,KG_02205,Kaggle Candidate 2205,10.04,0.92,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
508,KG_01570,Kaggle Candidate 1570,10.04,0.91,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
509,KG_00363,Kaggle Candidate 363,10.04,0.91,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
510,KG_02118,Kaggle Candidate 2118,10.03,0.89,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
511,KG_02147,Kaggle Candidate 2147,10.03,0.88,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
512,KG_02081,Kaggle Candidate 2081,10.03,0.89,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
513,KG_00259,Kaggle Candidate 259,10.03,0.88,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
514,KG_01341,Kaggle Candidate 1341,10.03,0.89,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
515,KG_02179,Kaggle Candidate 2179,10.03,0.9,16.67,25,statistics,communication,"data cleaning, data visualization, excel, sql, tableau"
516,KG_01678,Kaggle Candidate 1678,10.03,0.9,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
517,KG_00993,Kaggle Candidate 993,10.03,0.88,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
518,KG_00446,Kaggle Candidate 446,10.03,0.9,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
519,KG_00434,Kaggle Candidate 434,10.02,0.87,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
520,KG_02125,Kaggle Candidate 2125,10.02,0.88,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
521,KG_02444,Kaggle Candidate 2444,10.02,0.88,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
522,KG_01594,Kaggle Candidate 1594,10.02,0.86,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
523,KG_02116,Kaggle Candidate 2116,10.02,0.88,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
524,KG_02483,Kaggle Candidate 2483,10.02,0.88,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
525,KG_01686,Kaggle Candidate 1686,10.02,0.88,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
526,KG_00314,Kaggle Candidate 314,10.02,0.88,16.67,25,statistics,communication,"data cleaning, data visualization, excel, sql, tableau"
527,KG_00114,Kaggle Candidate 114,10.02,0.88,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
528,KG_00188,Kaggle Candidate 188,10.01,0.86,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
529,KG_01729,Kaggle Candidate 1729,10.01,0.85,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
530,KG_01391,Kaggle Candidate 1391,10.01,0.86,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
531,KG_02384,Kaggle Candidate 2384,10.01,0.85,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
532,KG_01129,Kaggle Candidate 1129,10.01,0.85,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
533,KG_01971,Kaggle Candidate 1971,10.01,0.85,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
534,KG_01788,Kaggle Candidate 1788,10.01,0.85,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
535,KG_00483,Kaggle Candidate 483,10.01,0.85,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
536,KG_00555,Kaggle Candidate 555,10,0.83,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
537,KG_02071,Kaggle Candidate 2071,10,0.84,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
538,KG_00942,Kaggle Candidate 942,10,0.84,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
539,KG_00210,Kaggle Candidate 210,10,0.83,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
540,KG_00994,Kaggle Candidate 994,10,0.84,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
541,KG_00818,Kaggle Candidate 818,10,0.83,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
542,KG_02064,Kaggle Candidate 2064,10,0.84,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
543,KG_02382,Kaggle Candidate 2382,10,0.84,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
544,KG_01778,Kaggle Candidate 1778,10,0.83,16.67,25,excel,python,"data cleaning, data visualization, sql, statistics, tableau"
545,KG_02197,Kaggle Candidate 2197,9.99,0.82,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
546,KG_00772,Kaggle Candidate 772,9.99,0.81,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
547,KG_01475,Kaggle Candidate 1475,9.99,0.81,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
548,KG_01628,Kaggle Candidate 1628,9.99,0.81,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
549,KG_01956,Kaggle Candidate 1956,9.99,0.82,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
550,KG_01726,Kaggle Candidate 1726,9.98,0.8,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
551,KG_01293,Kaggle Candidate 1293,9.98,0.78,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
552,KG_00377,Kaggle Candidate 377,9.98,0.79,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
553,KG_01643,Kaggle Candidate 1643,9.98,0.8,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
554,KG_02344,Kaggle Candidate 2344,9.98,0.79,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
555,KG_00209,Kaggle Candidate 209,9.98,0.8,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
556,KG_02247,Kaggle Candidate 2247,9.97,0.78,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
557,KG_00609,Kaggle Candidate 609,9.97,0.78,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
558,KG_00081,Kaggle Candidate 81,9.97,0.78,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
559,KG_00800,Kaggle Candidate 800,9.97,0.77,16.67,25,statistics,communication,"data cleaning, data visualization, excel, sql, tableau"
560,KG_02447,Kaggle Candidate 2447,9.96,0.74,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
561,KG_02076,Kaggle Candidate 2076,9.96,0.74,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
562,KG_00918,Kaggle Candidate 918,9.96,0.75,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
563,KG_02141,Kaggle Candidate 2141,9.96,0.76,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
564,KG_01453,Kaggle Candidate 1453,9.96,0.76,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
565,KG_01132,Kaggle Candidate 1132,9.96,0.76,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
566,KG_02096,Kaggle Candidate 2096,9.96,0.74,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
567,KG_02152,Kaggle Candidate 2152,9.96,0.75,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
568,KG_01673,Kaggle Candidate 1673,9.96,0.75,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
569,KG_00385,Kaggle Candidate 385,9.96,0.75,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
570,KG_00509,Kaggle Candidate 509,9.95,0.74,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
571,KG_00732,Kaggle Candidate 732,9.95,0.73,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
572,KG_00308,Kaggle Candidate 308,9.95,0.74,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
573,KG_00220,Kaggle Candidate 220,9.95,0.72,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
574,KG_00908,Kaggle Candidate 908,9.95,0.74,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
575,KG_00690,Kaggle Candidate 690,9.95,0.74,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
576,KG_02100,Kaggle Candidate 2100,9.95,0.74,16.67,25,tableau,communication,"data cleaning, data visualization, excel, sql, statistics"
577,KG_01816,Kaggle Candidate 1816,9.94,0.71,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
578,KG_00252,Kaggle Candidate 252,9.94,0.72,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
579,KG_02003,Kaggle Candidate 2003,9.94,0.72,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
580,KG_00014,Kaggle Candidate 14,9.94,0.71,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
581,KG_00873,Kaggle Candidate 873,9.94,0.7,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
582,KG_01288,Kaggle Candidate 1288,9.94,0.71,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
583,KG_00790,Kaggle Candidate 790,9.93,0.69,16.67,25,statistics,communication,"data cleaning, data visualization, excel, sql, tableau"
584,KG_00383,Kaggle Candidate 383,9.93,0.69,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
585,KG_02416,Kaggle Candidate 2416,9.93,0.7,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
586,KG_00931,Kaggle Candidate 931,9.93,0.69,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
587,KG_00024,Kaggle Candidate 24,9.93,0.7,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
588,KG_01840,Kaggle Candidate 1840,9.93,0.69,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
589,KG_00450,Kaggle Candidate 450,9.93,0.69,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
590,KG_01256,Kaggle Candidate 1256,9.93,0.69,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
591,KG_02017,Kaggle Candidate 2017,9.93,0.69,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
592,KG_00248,Kaggle Candidate 248,9.93,0.69,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
593,KG_01219,Kaggle Candidate 1219,9.93,0.68,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
594,KG_01250,Kaggle Candidate 1250,9.93,0.7,16.67,25,statistics,communication,"data cleaning, data visualization, excel, sql, tableau"
595,KG_00415,Kaggle Candidate 415,9.92,0.67,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
596,KG_02020,Kaggle Candidate 2020,9.91,0.65,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
597,KG_00202,Kaggle Candidate 202,9.91,0.65,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
598,KG_00322,Kaggle Candidate 322,9.91,0.65,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
599,KG_01692,Kaggle Candidate 1692,9.91,0.66,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
600,KG_01291,Kaggle Candidate 1291,9.91,0.64,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
601,KG_00402,Kaggle Candidate 402,9.91,0.66,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
602,KG_01888,Kaggle Candidate 1888,9.91,0.64,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
603,KG_01847,Kaggle Candidate 1847,9.9,0.64,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
604,KG_01423,Kaggle Candidate 1423,9.9,0.64,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
605,KG_00208,Kaggle Candidate 208,9.9,0.62,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
606,KG_00145,Kaggle Candidate 145,9.9,0.64,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
607,KG_02022,Kaggle Candidate 2022,9.9,0.64,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
608,KG_02005,Kaggle Candidate 2005,9.9,0.64,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
609,KG_02432,Kaggle Candidate 2432,9.9,0.64,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
610,KG_02099,Kaggle Candidate 2099,9.9,0.64,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
611,KG_01760,Kaggle Candidate 1760,9.89,0.61,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
612,KG_02047,Kaggle Candidate 2047,9.89,0.61,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
613,KG_01814,Kaggle Candidate 1814,9.89,0.62,16.67,25,statistics,communication,"data cleaning, data visualization, excel, sql, tableau"
614,KG_00039,Kaggle Candidate 39,9.89,0.61,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
615,KG_00776,Kaggle Candidate 776,9.89,0.61,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
616,KG_00100,Kaggle Candidate 100,9.89,0.61,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
617,KG_02065,Kaggle Candidate 2065,9.89,0.61,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
618,KG_00061,Kaggle Candidate 61,9.89,0.62,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
619,KG_02007,Kaggle Candidate 2007,9.88,0.59,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
620,KG_00173,Kaggle Candidate 173,9.88,0.59,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
621,KG_00476,Kaggle Candidate 476,9.88,0.59,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
622,KG_02355,Kaggle Candidate 2355,9.88,0.6,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
623,KG_01088,Kaggle Candidate 1088,9.88,0.6,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
624,KG_01090,Kaggle Candidate 1090,9.87,0.56,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
625,KG_00058,Kaggle Candidate 58,9.87,0.58,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
626,KG_00854,Kaggle Candidate 854,9.87,0.58,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
627,KG_00004,Kaggle Candidate 4,9.87,0.58,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
628,KG_01644,Kaggle Candidate 1644,9.87,0.58,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
629,KG_01543,Kaggle Candidate 1543,9.87,0.58,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
630,KG_02026,Kaggle Candidate 2026,9.86,0.56,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
631,KG_00241,Kaggle Candidate 241,9.86,0.55,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
632,KG_02336,Kaggle Candidate 2336,9.86,0.56,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
633,KG_01992,Kaggle Candidate 1992,9.86,0.55,16.67,25,statistics,communication,"data cleaning, data visualization, excel, sql, tableau"
634,KG_00099,Kaggle Candidate 99,9.85,0.53,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
635,KG_01995,Kaggle Candidate 1995,9.85,0.53,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
636,KG_00874,Kaggle Candidate 874,9.84,0.52,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
637,KG_00876,Kaggle Candidate 876,9.84,0.51,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
638,KG_00180,Kaggle Candidate 180,9.84,0.51,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
639,KG_00890,Kaggle Candidate 890,9.84,0.52,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
640,KG_01003,Kaggle Candidate 1003,9.84,0.52,16.67,25,statistics,communication,"data cleaning, data visualization, excel, sql, tableau"
641,KG_01733,Kaggle Candidate 1733,9.83,0.5,16.67,25,statistics,python,"data cleaning, data visualization, excel, sql, tableau"
642,KG_01651,Kaggle Candidate 1651,9.83,0.49,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
643,KG_00375,Kaggle Candidate 375,9.83,0.49,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
644,KG_00064,Kaggle Candidate 64,9.82,0.46,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
645,KG_00387,Kaggle Candidate 387,9.81,0.45,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
646,KG_00390,Kaggle Candidate 390,9.81,0.45,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
647,KG_00857,Kaggle Candidate 857,9.81,0.45,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
648,KG_00527,Kaggle Candidate 527,9.81,0.45,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
649,KG_00393,Kaggle Candidate 393,9.8,0.43,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
650,KG_01470,Kaggle Candidate 1470,9.8,0.44,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
651,KG_01140,Kaggle Candidate 1140,9.8,0.42,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
652,KG_01693,Kaggle Candidate 1693,9.79,0.41,16.67,25,excel,python,"data cleaning, data visualization, sql, statistics, tableau"
653,KG_01070,Kaggle Candidate 1070,9.79,0.4,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
654,KG_00833,Kaggle Candidate 833,9.79,0.41,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
655,KG_01921,Kaggle Candidate 1921,9.79,0.42,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
656,KG_02418,Kaggle Candidate 2418,9.79,0.41,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
657,KG_01403,Kaggle Candidate 1403,9.78,0.39,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
658,KG_00891,Kaggle Candidate 891,9.78,0.4,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
659,KG_01072,Kaggle Candidate 1072,9.78,0.4,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
660,KG_01681,Kaggle Candidate 1681,9.77,0.38,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
661,KG_01705,Kaggle Candidate 1705,9.77,0.37,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
662,KG_00113,Kaggle Candidate 113,9.76,0.35,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
663,KG_00794,Kaggle Candidate 794,9.76,0.35,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
664,KG_00948,Kaggle Candidate 948,9.76,0.34,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
665,KG_01055,Kaggle Candidate 1055,9.76,0.35,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
666,KG_02121,Kaggle Candidate 2121,9.76,0.36,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
667,KG_02069,Kaggle Candidate 2069,9.76,0.36,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
668,KG_01317,Kaggle Candidate 1317,9.75,0.33,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
669,KG_02414,Kaggle Candidate 2414,9.75,0.32,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
670,KG_00369,Kaggle Candidate 369,9.75,0.33,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
671,KG_01784,Kaggle Candidate 1784,9.75,0.33,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
672,KG_01416,Kaggle Candidate 1416,9.75,0.32,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
673,KG_01927,Kaggle Candidate 1927,9.75,0.33,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
674,KG_00875,Kaggle Candidate 875,9.74,0.32,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
675,KG_01617,Kaggle Candidate 1617,9.74,0.31,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
676,KG_00366,Kaggle Candidate 366,9.74,0.32,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
677,KG_02424,Kaggle Candidate 2424,9.74,0.31,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
678,KG_01923,Kaggle Candidate 1923,9.73,0.3,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
679,KG_01934,Kaggle Candidate 1934,9.73,0.29,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
680,KG_02073,Kaggle Candidate 2073,9.73,0.29,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
681,KG_01422,Kaggle Candidate 1422,9.73,0.29,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
682,KG_01742,Kaggle Candidate 1742,9.72,0.27,16.67,25,sql,communication,"data cleaning, data visualization, excel, statistics, tableau"
683,KG_01509,Kaggle Candidate 1509,9.72,0.28,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
684,KG_01574,Kaggle Candidate 1574,9.72,0.27,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
685,KG_01490,Kaggle Candidate 1490,9.72,0.28,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
686,KG_02021,Kaggle Candidate 2021,9.72,0.27,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
687,KG_01069,Kaggle Candidate 1069,9.71,0.24,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
688,KG_01717,Kaggle Candidate 1717,9.71,0.25,16.67,25,sql,python,"data cleaning, data visualization, excel, statistics, tableau"
689,KG_02391,Kaggle Candidate 2391,9.71,0.25,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
690,KG_01823,Kaggle Candidate 1823,9.7,0.23,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
691,KG_01715,Kaggle Candidate 1715,9.7,0.24,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
692,KG_01089,Kaggle Candidate 1089,9.69,0.22,16.67,25,excel,communication,"data cleaning, data visualization, sql, statistics, tableau"
